"table","items","sd","range"
"mboya_2020_gds15",15,0.806661319159436,2.21515870740113
"g308_sirt",20,1.67822905999682,5.37071643669347
"schoen_2019_to_2022_mkt",32,1.0549145832044,4.2302430018037
"mcmi_mokken",44,0.907797469662292,3.95750845505935
"gilbert_meta_23",31,1.05143820563213,4.86218239016511
"CPDMMC_Kunnari_2020_PDP",18,1.9728197376692,6.69994467440967
"enders_2022_conflict",12,2.10979243094166,6.62797373596783
"gilbert_meta_58",13,2.06611025422299,6.750306353481
"bialowolski_2024_financial_literacy",18,1.44068049434351,5.78659808044976
"tran_2023_gi_symptoms",11,0.988607533827294,3.16419409306889
"gilbert_meta_88",12,1.41317140377598,4.26186364674369
"pavic_2022_science_literacy",15,0.824531972118543,3.23105054459056
"erf_breuer_2017_frmmc",25,1.82610540047158,6.04241525805363
"tomioka_2022_srh_support_types",12,1.2232927989657,4.32649706560056
"paraguay_2021_women_family",20,1.8290984509877,7.17531409951968
"gcbs_brotherton_2013_vcl",16,3.27207482654438,9.23323856929161
"janssen2_tam",20,1.10927311184819,3.60881050524055
"roelen_2020_dietary_diversity",17,2.05490042644533,6.79981437375927
"lexical_difficulty_altgassen_2025_s02_gc",12,0.643748895786692,2.28413641628385
"crspolish_wiesyk_2024_lie",12,0.622898991387175,2.45741706450536
"ai_fear_dong_2026_incentive",48,2.77030296925312e-07,6.35065798710733e-07
"buzgova_2023_gai",20,0.698109429274057,2.25887360135541
"geiser_tam",24,1.14146813353397,4.43938739841311
"gilbert_meta_80",22,2.87667875508654,10.0368874515572
"paraguay_2021_women_partner",23,1.63111733508781,8.12304597456022
"project_kids_wj_ap",31,3.73812006121502,13.030397231577
"gilbert_meta_32",20,1.80707768747761,6.65352450007437
"gilbert_meta_82",11,2.35384244694795,7.06959562010601
"gilbert_meta_102",36,1.13246526787202,4.43560121849107
"orovou_2021_lec5",17,1.10041117746929,3.89071960999388
"project_kids_wj_wa_grade",26,2.71624009647813,10.8758148559175
"project_kids_wj_pv_grade",28,3.81887668389253,13.1247023640284
"gilbert_meta_77",26,0.552461564106576,1.79324412358892
"gilbert_meta_26",15,0.883486155410937,2.86625835180972
"darkfactorfrench_pischel_2026_crime_analog",10,1.67983326777068,5.89821688287045
"fitz_2024_numeracy",11,1.32798821263613,4.64232327022783
"project_kids_wj_sa",44,1.59132914909536,6.25174447321223
"c19prc_uk_mcbride_2021_facetrust",12,1.75053845491782,5.32122568516772
"gilbert_meta_9",14,1.5471681324848,4.58438238572481
"psychtools_ability",16,1.12477962087316,3.29698871461474
