"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
86,IMM_6,4,1,1,60-69,Male
86,IMM_3,4,1,1,60-69,Male
86,IMM_7,1,1,1,60-69,Male
86,IMM_9,3,1,1,60-69,Male
86,IMM_5,4,1,1,60-69,Male
86,IMM_4,1,1,1,60-69,Male
86,IMM_2,3,1,1,60-69,Male
86,IMM_1,2,1,1,60-69,Male
86,IMM_10,3,1,1,60-69,Male
105,IMM_1,2,1,1,50-59,Male
105,IMM_5,4,1,1,50-59,Male
105,IMM_2,2,1,1,50-59,Male
105,IMM_10,2,1,1,50-59,Male
105,IMM_3,3,1,1,50-59,Male
105,IMM_6,2,1,1,50-59,Male
105,IMM_8,4,1,1,50-59,Male
105,IMM_7,2,1,1,50-59,Male
105,IMM_9,3,1,1,50-59,Male
105,IMM_4,1,1,1,50-59,Male
108,IMM_9,4,1,5,60-69,Female
108,IMM_1,0,1,5,60-69,Female
108,IMM_3,2,1,5,60-69,Female
108,IMM_8,4,1,5,60-69,Female
108,IMM_5,0,1,5,60-69,Female
108,IMM_7,0,1,5,60-69,Female
108,IMM_2,4,1,5,60-69,Female
108,IMM_10,0,1,5,60-69,Female
108,IMM_4,2,1,5,60-69,Female
108,IMM_6,2,1,5,60-69,Female
131,IMM_4,1,1,1,70-79,Female
131,IMM_1,1,1,1,70-79,Female
131,IMM_2,3,1,1,70-79,Female
131,IMM_10,2,1,1,70-79,Female
131,IMM_6,2,1,1,70-79,Female
131,IMM_9,3,1,1,70-79,Female
131,IMM_3,4,1,1,70-79,Female
131,IMM_7,0,1,1,70-79,Female
131,IMM_8,3,1,1,70-79,Female
131,IMM_5,0,1,1,70-79,Female
149,IMM_7,3,1,1,30-39,Male
149,IMM_1,4,1,1,30-39,Male
149,IMM_2,4,1,1,30-39,Male
149,IMM_6,4,1,1,30-39,Male
149,IMM_10,4,1,1,30-39,Male
149,IMM_9,1,1,1,30-39,Male
149,IMM_4,3,1,1,30-39,Male
149,IMM_5,4,1,1,30-39,Male
149,IMM_8,4,1,1,30-39,Male
